Query,Time,Value,Unit
"text=""actress"" AND channel=""CNN""",3/1/2016,36,seconds
"text=""actress"" AND channel=""CNN""",4/1/2016,41,seconds
"text=""actress"" AND channel=""CNN""",5/1/2016,15,seconds
"text=""actress"" AND channel=""CNN""",6/1/2016,6.588,seconds
"text=""actress"" AND channel=""CNN""",7/1/2016,16,seconds
"text=""actress"" AND channel=""CNN""",8/1/2016,11,seconds
"text=""actress"" AND channel=""CNN""",9/1/2016,26,seconds
"text=""actress"" AND channel=""CNN""",10/1/2016,49,seconds
"text=""actress"" AND channel=""CNN""",11/1/2016,17,seconds
"text=""actress"" AND channel=""CNN""",12/1/2016,226.3,seconds
"text=""actress"" AND channel=""CNN""",1/1/2017,76,seconds
"text=""actress"" AND channel=""CNN""",2/1/2017,50,seconds
"text=""actress"" AND channel=""CNN""",3/1/2017,9,seconds
"text=""actress"" AND channel=""CNN""",4/1/2017,8.794,seconds
"text=""actress"" AND channel=""CNN""",5/1/2017,6,seconds
"text=""actress"" AND channel=""CNN""",6/1/2017,23,seconds
"text=""actress"" AND channel=""CNN""",7/1/2017,7,seconds
"text=""actress"" AND channel=""CNN""",8/1/2017,15,seconds
"text=""actress"" AND channel=""CNN""",9/1/2017,29.382,seconds
"text=""actress"" AND channel=""CNN""",10/1/2017,124.649,seconds
"text=""actress"" AND channel=""CNN""",11/1/2017,77,seconds
"text=""actress"" AND channel=""CNN""",12/1/2017,57,seconds
"text=""actress"" AND channel=""CNN""",1/1/2018,54,seconds
"text=""actress"" AND channel=""CNN""",2/1/2018,48.318,seconds
"text=""actress"" AND channel=""CNN""",3/1/2018,217,seconds
"text=""actress"" AND channel=""CNN""",4/1/2018,96.747,seconds
"text=""actress"" AND channel=""CNN""",5/1/2018,184.446,seconds
"text=""actress"" AND channel=""CNN""",6/1/2018,24.705,seconds
"text=""actress"" AND channel=""CNN""",7/1/2018,31,seconds
"text=""actress"" AND channel=""CNN""",8/1/2018,32,seconds
"text=""actress"" AND channel=""CNN""",9/1/2018,35,seconds
"text=""actress"" AND channel=""CNN""",10/1/2018,45,seconds
"text=""actress"" AND channel=""CNN""",11/1/2018,19.942,seconds
"text=""actress"" AND channel=""CNN""",12/1/2018,34.56,seconds
"text=""actress"" AND channel=""CNN""",1/1/2019,43,seconds
"text=""actress"" AND channel=""CNN""",2/1/2019,53.905,seconds
"text=""actress"" AND channel=""CNN""",3/1/2019,81.843,seconds
"text=""actress"" AND channel=""CNN""",4/1/2019,137.707,seconds
"text=""actress"" AND channel=""CNN""",5/1/2019,46,seconds
"text=""actress"" AND channel=""CNN""",6/1/2019,51.566,seconds
"text=""actress"" AND channel=""CNN""",7/1/2019,35,seconds
"text=""actress"" AND channel=""CNN""",8/1/2019,65,seconds
"text=""actress"" AND channel=""CNN""",9/1/2019,134.906,seconds
"text=""actress"" AND channel=""CNN""",10/1/2019,50.658,seconds
"text=""actress"" AND channel=""CNN""",11/1/2019,24,seconds
"text=""actress"" AND channel=""CNN""",12/1/2019,74.87,seconds
"text=""actress"" AND channel=""CNN""",1/1/2020,50,seconds
"text=""actress"" AND channel=""CNN""",2/1/2020,69,seconds
"text=""actress"" AND channel=""CNN""",3/1/2020,9,seconds
"text=""actress"" AND channel=""CNN""",4/1/2020,9,seconds
"text=""actress"" AND channel=""CNN""",5/1/2020,13.815,seconds
"text=""actress"" AND channel=""CNN""",6/1/2020,7.702,seconds
"text=""actress"" AND channel=""CNN""",7/1/2020,26,seconds
"text=""actress"" AND channel=""CNN""",8/1/2020,31,seconds
"text=""actress"" AND channel=""CNN""",9/1/2020,23,seconds
"text=""actress"" AND channel=""CNN""",10/1/2020,13.331,seconds
"text=""actress"" AND channel=""CNN""",11/1/2020,2,seconds
"text=""actress"" AND channel=""CNN""",12/1/2020,15,seconds
"text=""actress"" AND channel=""CNN""",1/1/2021,17,seconds
"text=""actress"" AND channel=""CNN""",2/1/2021,7,seconds
"text=""actress"" AND channel=""CNN""",3/1/2021,46,seconds
"text=""actress"" AND channel=""CNN""",4/1/2021,42,seconds
"text=""actress"" AND channel=""CNN""",5/1/2021,32,seconds
"text=""actress"" AND channel=""CNN""",6/1/2021,29,seconds
"text=""actress"" AND channel=""CNN""",7/1/2021,35.457,seconds
