workerid,proliferate.condition,gender,gendered_morph,id,neutral_morh,orthog,response,scale,slide_number_in_experiment,error
73,Comprehensive,neutral,man_woman,Maintenance_Person,person_compound,maintenance person,3,MF,35,
73,Comprehensive,female,suffix,Flight_attendant,suppletion,airline stewardess,7,MF,36,
73,Comprehensive,neutral,man_woman,Police_officer,neutral_compound,police officer,3,MF,37,
73,Comprehensive,male,man_woman,Assemblyperson,person_compound,assemblyman,1,MF,38,
73,Comprehensive,neutral,man_woman,Firefighter,neutral_compound,firefighter,3,MF,39,
73,Comprehensive,male,suffix,Host,male_adoption,host,1,MF,40,
73,Comprehensive,neutral,suffix,Usher,male_adoption,usher,4,MF,41,
73,Comprehensive,female,man_woman,Horseperson,person_compound,horsewoman,7,MF,42,
81,Comprehensive,,,example1,,,5,,2,
81,Comprehensive,female,man_woman,Foreperson,person_compound,forewoman,1,FM,4,
81,Comprehensive,male,man_woman,Anchor,clipping,anchorman,7,FM,5,
81,Comprehensive,female,man_woman,Layperson,person_compound,laywoman,1,FM,6,
81,Comprehensive,male,man_woman,Congressperson,person_compound,congressman,7,FM,7,
81,Comprehensive,male,man_woman,Salesperson,person_compound,salesman,7,FM,8,
81,Comprehensive,female,suffix,Villain,male_adoption,villainess,1,FM,9,
81,Comprehensive,male,suffix,Heir,male_adoption,heir,4,FM,10,
81,Comprehensive,male,man_woman,Gentleperson,person_compound,gentleman,7,FM,11,
81,Comprehensive,female,man_woman,Chair,clipping,chairwoman,1,FM,12,
81,Comprehensive,male,suffix,Actor,male_adoption,actor,4,FM,13,
81,Comprehensive,neutral,gender_compound,Headteacher,neutral_compound,headteacher,4,FM,14,
81,Comprehensive,female,suffix,Hunter,male_adoption,huntress,1,FM,15,
81,Comprehensive,female,suffix,Hero,male_adoption,heroine,1,FM,16,
81,Comprehensive,female,man_woman,God,male_adoption,goddess,1,FM,17,
81,Comprehensive,neutral,man_woman,Garbage_Collector,neutral_compound,garbage collector,5,FM,18,
81,Comprehensive,male,man_woman,Police_officer,neutral_compound,policeman,6,FM,19,
81,Comprehensive,neutral,man_woman,Fisher,clipping,fisher,5,FM,20,
81,Comprehensive,female,man_woman,Maintenance_Person,person_compound,handywoman,1,FM,21,
81,Comprehensive,neutral,man_woman,Assemblyperson,person_compound,assemblyperson,4,FM,22,
81,Comprehensive,neutral,man_woman,Crewmember,neutral_compound,crewmember,4,FM,23,
81,Comprehensive,neutral,man_woman,Camera,neutral_compound,camera operator,4,FM,24,
81,Comprehensive,male,boy_girl,Paper_carrier,neutral_compound,paperboy,7,FM,25,
81,Comprehensive,female,suffix,Emperor,male_adoption,empress,1,FM,26,
81,Comprehensive,female,man_woman,Mail_Carrier,neutral_compound,mailwoman,1,FM,27,
81,Comprehensive,neutral,suffix,Flight_attendant,suppletion,flight attendant,4,FM,28,
81,Comprehensive,neutral,gender_compound,Proprieter,suppletion,proprieter,4,FM,29,
81,Comprehensive,neutral,suffix,Host,male_adoption,host,5,FM,30,
81,Comprehensive,neutral,suffix,Restaurant_server,suppletion,restaurant server,4,FM,31,
81,Comprehensive,male,suffix,Usher,male_adoption,usher,4,FM,32,
81,Comprehensive,male,man_woman,Door_attendant,neutral_compound,doorman,7,FM,33,
81,Comprehensive,female,gender_compound,Bartender,neutral_compound,barmaid,1,FM,34,
81,Comprehensive,neutral,man_woman,Businessperson,person_compound,businessperson,4,FM,35,
81,Comprehensive,neutral,man_woman,Stunt_double,neutral_compound,stunt double,4,FM,36,
81,Comprehensive,male,man_woman,Firefighter,neutral_compound,fireman,7,FM,37,
81,Comprehensive,male,man_woman,Horseperson,person_compound,horseman,7,FM,38,
81,Comprehensive,female,suffix,Sorcerer,male_adoption,sroceress,1,FM,39,
81,Comprehensive,neutral,boy_girl,Newsboy,male_adoption,newsboy,7,FM,40,
81,Comprehensive,female,man_woman,Craftsperson,person_compound,craftswoman,1,FM,41,
81,Comprehensive,male,man_woman,Meteorologist,suppletion,weatherman,7,FM,42,
64,Comprehensive,,,example1,,,5,,2,
64,Comprehensive,neutral,suffix,Usher,male_adoption,usher,2,MF,4,
64,Comprehensive,male,suffix,Sorcerer,male_adoption,sorcerer,2,MF,5,
64,Comprehensive,female,gender_compound,Headteacher,neutral_compound,headmistress,7,MF,6,
64,Comprehensive,neutral,man_woman,Fisher,clipping,fisher,2,MF,7,
64,Comprehensive,female,boy_girl,Paper_carrier,neutral_compound,papergirl,7,MF,8,
64,Comprehensive,female,suffix,Flight_attendant,suppletion,airline stewardess,7,MF,9,
64,Comprehensive,male,man_woman,Maintenance_Person,person_compound,handyman,2,MF,10,
64,Comprehensive,male,man_woman,Craftsperson,person_compound,craftsman,2,MF,11,
64,Comprehensive,female,man_woman,Businessperson,person_compound,businesswoman,7,MF,12,
64,Comprehensive,neutral,man_woman,Mail_Carrier,neutral_compound,mail carrier,2,MF,13,
64,Comprehensive,male,boy_girl,Newsboy,male_adoption,newsboy,2,MF,14,
64,Comprehensive,neutral,suffix,Hunter,male_adoption,hunter,2,MF,15,
64,Comprehensive,male,suffix,Hero,male_adoption,hero,3,MF,16,
64,Comprehensive,neutral,man_woman,Stunt_double,neutral_compound,stunt double,3,MF,17,
64,Comprehensive,male,man_woman,Crewmember,neutral_compound,crewman,2,MF,18,
64,Comprehensive,neutral,man_woman,God,male_adoption,god,3,MF,19,
64,Comprehensive,neutral,suffix,Emperor,male_adoption,emperor,3,MF,20,
64,Comprehensive,female,man_woman,Horseperson,person_compound,horsewoman,7,MF,21,
64,Comprehensive,female,man_woman,Assemblyperson,person_compound,assemblywoman,7,MF,22,
64,Comprehensive,neutral,suffix,Host,male_adoption,host,4,MF,23,
64,Comprehensive,male,man_woman,Camera,neutral_compound,cameraman,2,MF,24,
64,Comprehensive,neutral,man_woman,Chair,clipping,board chair,3,MF,25,
64,Comprehensive,female,suffix,Actor,male_adoption,actress,7,MF,26,
64,Comprehensive,neutral,gender_compound,Bartender,neutral_compound,bartender,3,MF,27,
64,Comprehensive,neutral,suffix,Heir,male_adoption,heir,4,MF,28,
64,Comprehensive,female,gender_compound,Proprieter,suppletion,landlady,7,MF,29,
64,Comprehensive,female,man_woman,Door_attendant,neutral_compound,doorwoman,7,MF,30,
64,Comprehensive,female,man_woman,Foreperson,person_compound,forewoman,7,MF,31,
64,Comprehensive,female,man_woman,Garbage_Collector,neutral_compound,garbagewoman,7,MF,32,
64,Comprehensive,male,man_woman,Meteorologist,suppletion,weatherman,1,MF,33,
64,Comprehensive,male,man_woman,Congressperson,person_compound,congressman,1,MF,34,
64,Comprehensive,female,man_woman,Salesperson,person_compound,saleswoman,7,MF,35,
64,Comprehensive,male,suffix,Villain,male_adoption,villain,2,MF,36,
64,Comprehensive,female,man_woman,Firefighter,neutral_compound,firewoman,7,MF,37,
64,Comprehensive,neutral,man_woman,Anchor,clipping,anchor,3,MF,38,
64,Comprehensive,male,man_woman,Layperson,person_compound,layman,2,MF,39,
64,Comprehensive,neutral,man_woman,Gentleperson,person_compound,gentleperson,4,MF,40,
64,Comprehensive,male,suffix,Restaurant_server,suppletion,waiter,4,MF,41,
64,Comprehensive,male,man_woman,Police_officer,neutral_compound,policeman,2,MF,42,
57,Comprehensive,,,example1,,,5,,2,
57,Comprehensive,male,man_woman,Police_officer,neutral_compound,policeman,2,MF,4,
57,Comprehensive,female,man_woman,Meteorologist,suppletion,weatherwoman,6,MF,5,
57,Comprehensive,male,suffix,Emperor,male_adoption,emperor,2,MF,6,
57,Comprehensive,female,man_woman,Anchor,clipping,anchorwoman,6,MF,7,
57,Comprehensive,male,man_woman,Door_attendant,neutral_compound,doorman,3,MF,8,
57,Comprehensive,neutral,suffix,Villain,male_adoption,villain,4,MF,9,
57,Comprehensive,female,man_woman,Gentleperson,person_compound,gentlewoman,6,MF,10,
57,Comprehensive,female,man_woman,Garbage_Collector,neutral_compound,garbagewoman,6,MF,11,
57,Comprehensive,neutral,boy_girl,Paper_carrier,neutral_compound,paper carrier,4,MF,12,
57,Comprehensive,female,suffix,Hunter,male_adoption,huntress,6,MF,13,
57,Comprehensive,male,man_woman,God,male_adoption,god,4,MF,14,
57,Comprehensive,male,suffix,Hero,male_adoption,hero,4,MF,15,
57,Comprehensive,female,suffix,Flight_attendant,suppletion,airline stewardess,5,MF,16,
57,Comprehensive,neutral,man_woman,Camera,neutral_compound,camera operator,4,MF,17,
57,Comprehensive,male,man_woman,Businessperson,person_compound,businessman,3,MF,18,
57,Comprehensive,female,man_woman,Horseperson,person_compound,horsewoman,4,MF,19,
57,Comprehensive,female,man_woman,Mail_Carrier,neutral_compound,mailwoman,6,MF,20,
57,Comprehensive,male,suffix,Host,male_adoption,host,4,MF,21,
57,Comprehensive,neutral,gender_compound,Headteacher,neutral_compound,headteacher,4,MF,22,
57,Comprehensive,female,man_woman,Assemblyperson,person_compound,assemblywoman,6,MF,23,
